Date,GDP_Growth_Rate,Inflation_Rate,NASDAQ_Close,NASDAQ_Volume,Revenue,EPS,FCF,MSFT_Volume,MSFT_Close
2021-01-01,1.542791999,1.39977,12888.2802734375,4815840000.0,37154000000.0,1.84,22770000000.0,20942100.0,217.04254150390625
2021-01-02,1.542791999,1.39977,12888.2802734375,4815840000.0,37154000000.0,1.84,22770000000.0,20942100.0,217.04254150390625
2021-01-03,1.542791999,1.39977,12888.2802734375,4815840000.0,37154000000.0,1.84,22770000000.0,20942100.0,217.04254150390625
2021-01-04,1.542791999,1.39977,12698.4501953125,6636170000.0,37154000000.0,1.84,22770000000.0,37130100.0,212.4269256591797
2021-01-05,1.542791999,1.39977,12818.9599609375,6971860000.0,37154000000.0,1.84,22770000000.0,23823000.0,212.63182067871094
2021-01-06,1.542791999,1.39977,12740.7900390625,7689880000.0,37154000000.0,1.84,22770000000.0,35930700.0,207.1184539794922
2021-01-07,1.542791999,1.39977,13067.48046875,6841480000.0,37154000000.0,1.84,22770000000.0,27694500.0,213.01239013671875
2021-01-08,1.542791999,1.39977,13201.98046875,7289390000.0,37154000000.0,1.84,22770000000.0,22956200.0,214.3102264404297
2021-01-09,1.542791999,1.39977,13201.98046875,7289390000.0,37154000000.0,1.84,22770000000.0,22956200.0,214.3102264404297
2021-01-10,1.542791999,1.39977,13201.98046875,7289390000.0,37154000000.0,1.84,22770000000.0,22956200.0,214.3102264404297
2021-01-11,1.542791999,1.39977,13036.4296875,6960470000.0,37154000000.0,1.84,22770000000.0,23031300.0,212.2317352294922
2021-01-12,1.542791999,1.39977,13072.4296875,7264070000.0,37154000000.0,1.84,22770000000.0,23249300.0,209.73362731933594
2021-01-13,1.542791999,1.39977,13128.9501953125,7104810000.0,37154000000.0,1.84,22770000000.0,20087100.0,211.1095428466797
2021-01-14,1.542791999,1.39977,13112.6396484375,6734100000.0,37154000000.0,1.84,22770000000.0,29480800.0,207.86978149414062
2021-01-15,1.542791999,1.39977,12998.5,6458360000.0,37154000000.0,1.84,22770000000.0,31746500.0,207.50872802734375
2021-01-16,1.542791999,1.39977,12998.5,6458360000.0,37154000000.0,1.84,22770000000.0,31746500.0,207.50872802734375
2021-01-17,1.542791999,1.39977,12998.5,6458360000.0,37154000000.0,1.84,22770000000.0,31746500.0,207.50872802734375
2021-01-18,1.542791999,1.39977,12998.5,6458360000.0,37154000000.0,1.84,22770000000.0,31746500.0,207.50872802734375
2021-01-19,1.542791999,1.39977,13197.1796875,6297860000.0,37154000000.0,1.84,22770000000.0,30480900.0,211.2071075439453
2021-01-20,1.542791999,1.39977,13457.25,6820990000.0,37154000000.0,1.84,22770000000.0,37777300.0,218.9160919189453
2021-01-21,1.542791999,1.39977,13530.91015625,7258640000.0,37154000000.0,1.84,22770000000.0,30709400.0,219.53089904785156
2021-01-22,1.542791999,1.39977,13543.0595703125,5972750000.0,37154000000.0,1.84,22770000000.0,30172700.0,220.48716735839844
2021-01-23,1.542791999,1.39977,13543.0595703125,5972750000.0,37154000000.0,1.84,22770000000.0,30172700.0,220.48716735839844
2021-01-24,1.542791999,1.39977,13543.0595703125,5972750000.0,37154000000.0,1.84,22770000000.0,30172700.0,220.48716735839844
2021-01-25,1.542791999,1.39977,13635.990234375,7193710000.0,37154000000.0,1.84,22770000000.0,33152100.0,223.98065185546875
2021-01-26,1.542791999,1.39977,13626.0595703125,6849600000.0,37154000000.0,1.84,22770000000.0,49169600.0,226.71295166015625
2021-01-27,1.542791999,1.39977,13270.599609375,11621190000.0,37154000000.0,1.84,22770000000.0,69870600.0,227.26914978027344
2021-01-28,1.542791999,1.39977,13337.16015625,9959270000.0,37154000000.0,1.84,22770000000.0,49111200.0,233.1533660888672
2021-01-29,1.542791999,1.39977,13070.6904296875,7872250000.0,37154000000.0,1.84,22770000000.0,42503100.0,226.35189819335938
2021-01-30,1.542791999,1.39977,13070.6904296875,7872250000.0,37154000000.0,1.84,22770000000.0,42503100.0,226.35189819335938
2021-01-31,1.542791999,1.39977,13070.6904296875,7872250000.0,37154000000.0,1.84,22770000000.0,42503100.0,226.35189819335938
2021-02-01,1.542791999,1.676215,13403.3896484375,7092520000.0,37154000000.0,1.84,22770000000.0,33314200.0,233.85595703125
2021-02-02,1.542791999,1.676215,13612.7802734375,7325270000.0,37154000000.0,1.84,22770000000.0,25916300.0,233.71934509277344
2021-02-03,1.542791999,1.676215,13610.5400390625,7546940000.0,37154000000.0,1.84,22770000000.0,27158100.0,237.12496948242188
2021-02-04,1.542791999,1.676215,13777.740234375,7295370000.0,37154000000.0,1.84,22770000000.0,25296100.0,236.158935546875
2021-02-05,1.542791999,1.676215,13856.2998046875,6792910000.0,37154000000.0,1.84,22770000000.0,18054800.0,236.3443145751953
2021-02-06,1.542791999,1.676215,13856.2998046875,6792910000.0,37154000000.0,1.84,22770000000.0,18054800.0,236.3443145751953
2021-02-07,1.542791999,1.676215,13856.2998046875,6792910000.0,37154000000.0,1.84,22770000000.0,18054800.0,236.3443145751953
2021-02-08,1.542791999,1.676215,13987.6396484375,8564530000.0,37154000000.0,1.84,22770000000.0,22211900.0,236.6077880859375
2021-02-09,1.542791999,1.676215,14007.7001953125,8766770000.0,37154000000.0,1.84,22770000000.0,23565000.0,237.87635803222656
2021-02-10,1.542791999,1.676215,13972.5302734375,10785930000.0,37154000000.0,1.84,22770000000.0,22186700.0,236.94935607910156
2021-02-11,1.542791999,1.676215,14025.76953125,10916780000.0,37154000000.0,1.84,22770000000.0,15751100.0,238.5789794921875
2021-02-12,1.542791999,1.676215,14095.4697265625,7416940000.0,37154000000.0,1.84,22770000000.0,16561100.0,239.06686401367188
2021-02-13,1.542791999,1.676215,14095.4697265625,7416940000.0,37154000000.0,1.84,22770000000.0,16561100.0,239.06686401367188
